R1,R2,SampleDate,PlotNr,Microhabitat,Surface_Subsurface,Grass_Interspace,Notes,Treatment,,
A24_16SG_S865_L001_R1_001.fastq.gz,A24_16SG_S865_L001_R2_001.fastq.gz,Aug_2024,16,SG,S,G,,N+P+Water,,
A24_16SI_S867_L001_R1_001.fastq.gz,A24_16SI_S867_L001_R2_001.fastq.gz,Aug_2024,16,SI,S,I,,N+P+Water,,
A24_16SSG_S866_L001_R1_001.fastq.gz,A24_16SSG_S866_L001_R2_001.fastq.gz,Aug_2024,16,SSG,SS,G,,N+P+Water,,
A24_16SSI_S868_L001_R1_001.fastq.gz,A24_16SSI_S868_L001_R2_001.fastq.gz,Aug_2024,16,SSI,SS,I,,N+P+Water,,
A24_1SG_S805_L001_R1_001.fastq.gz,A24_1SG_S805_L001_R2_001.fastq.gz,Aug_2024,1,SG,S,G,,N+P+Water,,
A24_1SI_S807_L001_R1_001.fastq.gz,A24_1SI_S807_L001_R2_001.fastq.gz,Aug_2024,1,SI,S,I,,N+P+Water,,
A24_1SSG_S806_L001_R1_001.fastq.gz,A24_1SSG_S806_L001_R2_001.fastq.gz,Aug_2024,1,SSG,SS,G,,N+P+Water,,
A24_1SSI_S808_L001_R1_001.fastq.gz,A24_1SSI_S808_L001_R2_001.fastq.gz,Aug_2024,1,SSI,SS,I,,N+P+Water,,
A24_20SG_S869_L001_R1_001.fastq.gz,A24_20SG_S869_L001_R2_001.fastq.gz,Aug_2024,20,SG,S,G,,P+Water,,
A24_20SI_S871_L001_R1_001.fastq.gz,A24_20SI_S871_L001_R2_001.fastq.gz,Aug_2024,20,SI,S,I,,P+Water,,
A24_20SSG_S870_L001_R1_001.fastq.gz,A24_20SSG_S870_L001_R2_001.fastq.gz,Aug_2024,20,SSG,SS,G,,P+Water,,
A24_20SSI_S872_L001_R1_001.fastq.gz,A24_20SSI_S872_L001_R2_001.fastq.gz,Aug_2024,20,SSI,SS,I,,P+Water,,
A24_24SG_S873_L001_R1_001.fastq.gz,A24_24SG_S873_L001_R2_001.fastq.gz,Aug_2024,24,SG,S,G,,N+P,,
A24_24SI_S875_L001_R1_001.fastq.gz,A24_24SI_S875_L001_R2_001.fastq.gz,Aug_2024,24,SI,S,I,,N+P,,
A24_24SSG_S874_L001_R1_001.fastq.gz,A24_24SSG_S874_L001_R2_001.fastq.gz,Aug_2024,24,SSG,SS,G,,N+P,,
A24_24SSI_S876_L001_R1_001.fastq.gz,A24_24SSI_S876_L001_R2_001.fastq.gz,Aug_2024,24,SSI,SS,I,,N+P,,
A24_28SG_S877_L001_R1_001.fastq.gz,A24_28SG_S877_L001_R2_001.fastq.gz,Aug_2024,28,SG,S,G,,N+Water,,
A24_28SI_S879_L001_R1_001.fastq.gz,A24_28SI_S879_L001_R2_001.fastq.gz,Aug_2024,28,SI,S,I,,N+Water,,
A24_28SSG_S878_L001_R1_001.fastq.gz,A24_28SSG_S878_L001_R2_001.fastq.gz,Aug_2024,28,SSG,SS,G,,N+Water,,
A24_28SSI_S880_L001_R1_001.fastq.gz,A24_28SSI_S880_L001_R2_001.fastq.gz,Aug_2024,28,SSI,SS,I,,N+Water,,
A24_29SG_S881_L001_R1_001.fastq.gz,A24_29SG_S881_L001_R2_001.fastq.gz,Aug_2024,29,SG,S,G,,P,,
A24_29SI_S883_L001_R1_001.fastq.gz,A24_29SI_S883_L001_R2_001.fastq.gz,Aug_2024,29,SI,S,I,,P,,
A24_29SSG_S882_L001_R1_001.fastq.gz,A24_29SSG_S882_L001_R2_001.fastq.gz,Aug_2024,29,SSG,SS,G,,P,,
A24_29SSI_S884_L001_R1_001.fastq.gz,A24_29SSI_S884_L001_R2_001.fastq.gz,Aug_2024,29,SSI,SS,I,,P,,
A24_2SG_S809_L001_R1_001.fastq.gz,A24_2SG_S809_L001_R2_001.fastq.gz,Aug_2024,2,SG,S,G,,P,,
A24_2SI_S811_L001_R1_001.fastq.gz,A24_2SI_S811_L001_R2_001.fastq.gz,Aug_2024,2,SI,S,I,,P,,
A24_2SSG_S810_L001_R1_001.fastq.gz,A24_2SSG_S810_L001_R2_001.fastq.gz,Aug_2024,2,SSG,SS,G,,P,,
A24_2SSI_S812_L001_R1_001.fastq.gz,A24_2SSI_S812_L001_R2_001.fastq.gz,Aug_2024,2,SSI,SS,I,,P,,
A24_31SG_S885_L001_R1_001.fastq.gz,A24_31SG_S885_L001_R2_001.fastq.gz,Aug_2024,31,SG,S,G,,N+Water,,
A24_31SI_S887_L001_R1_001.fastq.gz,A24_31SI_S887_L001_R2_001.fastq.gz,Aug_2024,31,SI,S,I,,N+Water,,
A24_31SSG_S886_L001_R1_001.fastq.gz,A24_31SSG_S886_L001_R2_001.fastq.gz,Aug_2024,31,SSG,SS,G,,N+Water,,
A24_31SSI_S888_L001_R1_001.fastq.gz,A24_31SSI_S888_L001_R2_001.fastq.gz,Aug_2024,31,SSI,SS,I,,N+Water,,
A24_34SG_S889_L001_R1_001.fastq.gz,A24_34SG_S889_L001_R2_001.fastq.gz,Aug_2024,34,SG,S,G,,N,,
A24_34SI_S891_L001_R1_001.fastq.gz,A24_34SI_S891_L001_R2_001.fastq.gz,Aug_2024,34,SI,S,I,,N,,
A24_34SSG_S890_L001_R1_001.fastq.gz,A24_34SSG_S890_L001_R2_001.fastq.gz,Aug_2024,34,SSG,SS,G,,N,,
A24_34SSI_S892_L001_R1_001.fastq.gz,A24_34SSI_S892_L001_R2_001.fastq.gz,Aug_2024,34,SSI,SS,I,,N,,
A24_35SG_S893_L001_R1_001.fastq.gz,A24_35SG_S893_L001_R2_001.fastq.gz,Aug_2024,35,SG,S,G,,Control,,
A24_35SI_S895_L001_R1_001.fastq.gz,A24_35SI_S895_L001_R2_001.fastq.gz,Aug_2024,35,SI,S,I,,Control,,
A24_35SSG_S894_L001_R1_001.fastq.gz,A24_35SSG_S894_L001_R2_001.fastq.gz,Aug_2024,35,SSG,SS,G,,Control,,
A24_35SSI_S896_L001_R1_001.fastq.gz,A24_35SSI_S896_L001_R2_001.fastq.gz,Aug_2024,35,SSI,SS,I,,Control,,
A24_36SG_S897_L001_R1_001.fastq.gz,A24_36SG_S897_L001_R2_001.fastq.gz,Aug_2024,36,SG,S,G,,P+Water,,
A24_36SI_S899_L001_R1_001.fastq.gz,A24_36SI_S899_L001_R2_001.fastq.gz,Aug_2024,36,SI,S,I,,P+Water,,
A24_36SSG_S898_L001_R1_001.fastq.gz,A24_36SSG_S898_L001_R2_001.fastq.gz,Aug_2024,36,SSG,SS,G,,P+Water,,
A24_36SSI_S900_L001_R1_001.fastq.gz,A24_36SSI_S900_L001_R2_001.fastq.gz,Aug_2024,36,SSI,SS,I,,P+Water,,
A24_37SG_S901_L001_R1_001.fastq.gz,A24_37SG_S901_L001_R2_001.fastq.gz,Aug_2024,37,SG,S,G,,N+P,,
A24_37SI_S903_L001_R1_001.fastq.gz,A24_37SI_S903_L001_R2_001.fastq.gz,Aug_2024,37,SI,S,I,,N+P,,
A24_37SSG_S902_L001_R1_001.fastq.gz,A24_37SSG_S902_L001_R2_001.fastq.gz,Aug_2024,37,SSG,SS,G,,N+P,,
A24_37SSI_S904_L001_R1_001.fastq.gz,A24_37SSI_S904_L001_R2_001.fastq.gz,Aug_2024,37,SSI,SS,I,,N+P,,
A24_3SG_S813_L001_R1_001.fastq.gz,A24_3SG_S813_L001_R2_001.fastq.gz,Aug_2024,3,SG,S,G,,Water,,
A24_3SI_S815_L001_R1_001.fastq.gz,A24_3SI_S815_L001_R2_001.fastq.gz,Aug_2024,3,SI,S,I,,Water,,
A24_3SSG_S814_L001_R1_001.fastq.gz,A24_3SSG_S814_L001_R2_001.fastq.gz,Aug_2024,3,SSG,SS,G,,Water,,
A24_3SSI_S816_L001_R1_001.fastq.gz,A24_3SSI_S816_L001_R2_001.fastq.gz,Aug_2024,3,SSI,SS,I,,Water,,
A24_41SG_S905_L001_R1_001.fastq.gz,A24_41SG_S905_L001_R2_001.fastq.gz,Aug_2024,41,SG,S,G,,P+Water,,
A24_41SI_S907_L001_R1_001.fastq.gz,A24_41SI_S907_L001_R2_001.fastq.gz,Aug_2024,41,SI,S,I,,P+Water,,
A24_41SSG_S906_L001_R1_001.fastq.gz,A24_41SSG_S906_L001_R2_001.fastq.gz,Aug_2024,41,SSG,SS,G,,P+Water,,
A24_41SSI_S908_L001_R1_001.fastq.gz,A24_41SSI_S908_L001_R2_001.fastq.gz,Aug_2024,41,SSI,SS,I,,P+Water,,
A24_49SG_S909_L001_R1_001.fastq.gz,A24_49SG_S909_L001_R2_001.fastq.gz,Aug_2024,49,SG,S,G,not a complete set,P+Water,,
A24_49SI_S911_L001_R1_001.fastq.gz,A24_49SI_S911_L001_R2_001.fastq.gz,Aug_2024,49,SI,S,I,not a complete set,P+Water,,
A24_4SG_S817_L001_R1_001.fastq.gz,A24_4SG_S817_L001_R2_001.fastq.gz,Aug_2024,4,SG,S,G,,N+P+Water,,
A24_4SI_S819_L001_R1_001.fastq.gz,A24_4SI_S819_L001_R2_001.fastq.gz,Aug_2024,4,SI,S,I,,N+P+Water,,
A24_4SSG_S818_L001_R1_001.fastq.gz,A24_4SSG_S818_L001_R2_001.fastq.gz,Aug_2024,4,SSG,SS,G,,N+P+Water,,
A24_4SSI_S820_L001_R1_001.fastq.gz,A24_4SSI_S820_L001_R2_001.fastq.gz,Aug_2024,4,SSI,SS,I,,N+P+Water,,
A24_52SSI_S916_L001_R1_001.fastq.gz,A24_52SSI_S916_L001_R2_001.fastq.gz,Aug_2024,52,SSI,SS,I,not a complete set,N+P,,
A24_53SG_S917_L001_R1_001.fastq.gz,A24_53SG_S917_L001_R2_001.fastq.gz,Aug_2024,53,SG,S,G,not a complete set,Control,,
A24_53SSG_S918_L001_R1_001.fastq.gz,A24_53SSG_S918_L001_R2_001.fastq.gz,Aug_2024,53,SSG,SS,G,not a complete set,Control,,
A24_53SSI_S920_L001_R1_001.fastq.gz,A24_53SSI_S920_L001_R2_001.fastq.gz,Aug_2024,53,SSI,SS,I,not a complete set,Control,,
A24_54SI_S923_L001_R1_001.fastq.gz,A24_54SI_S923_L001_R2_001.fastq.gz,Aug_2024,54,SI,S,I,not a complete set,N+P,,
A24_54SSG_S922_L001_R1_001.fastq.gz,A24_54SSG_S922_L001_R2_001.fastq.gz,Aug_2024,54,SSG,SS,G,not a complete set,N+P,,
A24_54SSI_S924_L001_R1_001.fastq.gz,A24_54SSI_S924_L001_R2_001.fastq.gz,Aug_2024,54,SSI,SS,I,not a complete set,N+P,,
A24_55SG_S925_L001_R1_001.fastq.gz,A24_55SG_S925_L001_R2_001.fastq.gz,Aug_2024,55,SG,S,G,,N,,
A24_55SI_S927_L001_R1_001.fastq.gz,A24_55SI_S927_L001_R2_001.fastq.gz,Aug_2024,55,SI,S,I,,N,,
A24_55SSG_S926_L001_R1_001.fastq.gz,A24_55SSG_S926_L001_R2_001.fastq.gz,Aug_2024,55,SSG,SS,G,,N,,
A24_55SSI_S928_L001_R1_001.fastq.gz,A24_55SSI_S928_L001_R2_001.fastq.gz,Aug_2024,55,SSI,SS,I,,N,,
A24_56SG_S929_L001_R1_001.fastq.gz,A24_56SG_S929_L001_R2_001.fastq.gz,Aug_2024,56,SG,S,G,,N,,
A24_56SI_S931_L001_R1_001.fastq.gz,A24_56SI_S931_L001_R2_001.fastq.gz,Aug_2024,56,SI,S,I,,N,,
A24_56SSG_S930_L001_R1_001.fastq.gz,A24_56SSG_S930_L001_R2_001.fastq.gz,Aug_2024,56,SSG,SS,G,,N,,
A24_56SSI_S932_L001_R1_001.fastq.gz,A24_56SSI_S932_L001_R2_001.fastq.gz,Aug_2024,56,SSI,SS,I,,N,,
A24_57SG_S933_L001_R1_001.fastq.gz,A24_57SG_S933_L001_R2_001.fastq.gz,Aug_2024,57,SG,S,G,,P,,
A24_57SI_S935_L001_R1_001.fastq.gz,A24_57SI_S935_L001_R2_001.fastq.gz,Aug_2024,57,SI,S,I,,P,,
A24_57SSG_S934_L001_R1_001.fastq.gz,A24_57SSG_S934_L001_R2_001.fastq.gz,Aug_2024,57,SSG,SS,G,,P,,
A24_57SSI_S936_L001_R1_001.fastq.gz,A24_57SSI_S936_L001_R2_001.fastq.gz,Aug_2024,57,SSI,SS,I,,P,,
A24_58SG_S937_L001_R1_001.fastq.gz,A24_58SG_S937_L001_R2_001.fastq.gz,Aug_2024,58,SG,S,G,,Control,,
A24_58SI_S939_L001_R1_001.fastq.gz,A24_58SI_S939_L001_R2_001.fastq.gz,Aug_2024,58,SI,S,I,,Control,,
A24_58SSG_S938_L001_R1_001.fastq.gz,A24_58SSG_S938_L001_R2_001.fastq.gz,Aug_2024,58,SSG,SS,G,,Control,,
A24_58SSI_S940_L001_R1_001.fastq.gz,A24_58SSI_S940_L001_R2_001.fastq.gz,Aug_2024,58,SSI,SS,I,,Control,,
A24_59SG_S941_L001_R1_001.fastq.gz,A24_59SG_S941_L001_R2_001.fastq.gz,Aug_2024,59,SG,S,G,,Water,,
A24_59SI_S943_L001_R1_001.fastq.gz,A24_59SI_S943_L001_R2_001.fastq.gz,Aug_2024,59,SI,S,I,,Water,,
A24_59SSG_S942_L001_R1_001.fastq.gz,A24_59SSG_S942_L001_R2_001.fastq.gz,Aug_2024,59,SSG,SS,G,,Water,,
A24_59SSI_S944_L001_R1_001.fastq.gz,A24_59SSI_S944_L001_R2_001.fastq.gz,Aug_2024,59,SSI,SS,I,,Water,,
A24_5SG_S821_L001_R1_001.fastq.gz,A24_5SG_S821_L001_R2_001.fastq.gz,Aug_2024,5,SG,S,G,,Water,,
A24_5SI_S823_L001_R1_001.fastq.gz,A24_5SI_S823_L001_R2_001.fastq.gz,Aug_2024,5,SI,S,I,,Water,,
A24_5SSG_S822_L001_R1_001.fastq.gz,A24_5SSG_S822_L001_R2_001.fastq.gz,Aug_2024,5,SSG,SS,G,,Water,,
A24_5SSI_S824_L001_R1_001.fastq.gz,A24_5SSI_S824_L001_R2_001.fastq.gz,Aug_2024,5,SSI,SS,I,,Water,,
A24_60SG_S945_L001_R1_001.fastq.gz,A24_60SG_S945_L001_R2_001.fastq.gz,Aug_2024,60,SG,S,G,,N+P+Water,,
A24_60SI_S947_L001_R1_001.fastq.gz,A24_60SI_S947_L001_R2_001.fastq.gz,Aug_2024,60,SI,S,I,,N+P+Water,,
A24_60SSG_S946_L001_R1_001.fastq.gz,A24_60SSG_S946_L001_R2_001.fastq.gz,Aug_2024,60,SSG,SS,G,,N+P+Water,,
A24_60SSI_S948_L001_R1_001.fastq.gz,A24_60SSI_S948_L001_R2_001.fastq.gz,Aug_2024,60,SSI,SS,I,,N+P+Water,,
A24_61SG_S949_L001_R1_001.fastq.gz,A24_61SG_S949_L001_R2_001.fastq.gz,Aug_2024,61,SG,S,G,,N+P,,
A24_61SI_S951_L001_R1_001.fastq.gz,A24_61SI_S951_L001_R2_001.fastq.gz,Aug_2024,61,SI,S,I,,N+P,,
A24_61SSG_S950_L001_R1_001.fastq.gz,A24_61SSG_S950_L001_R2_001.fastq.gz,Aug_2024,61,SSG,SS,G,,N+P,,
A24_61SSI_S952_L001_R1_001.fastq.gz,A24_61SSI_S952_L001_R2_001.fastq.gz,Aug_2024,61,SSI,SS,I,,N+P,,
A24_62SG_S953_L001_R1_001.fastq.gz,A24_62SG_S953_L001_R2_001.fastq.gz,Aug_2024,62,SG,S,G,,N+Water,,
A24_62SI_S955_L001_R1_001.fastq.gz,A24_62SI_S955_L001_R2_001.fastq.gz,Aug_2024,62,SI,S,I,,N+Water,,
A24_62SSG_S954_L001_R1_001.fastq.gz,A24_62SSG_S954_L001_R2_001.fastq.gz,Aug_2024,62,SSG,SS,G,,N+Water,,
A24_62SSI_S956_L001_R1_001.fastq.gz,A24_62SSI_S956_L001_R2_001.fastq.gz,Aug_2024,62,SSI,SS,I,,N+Water,,
A24_63SG_S957_L001_R1_001.fastq.gz,A24_63SG_S957_L001_R2_001.fastq.gz,Aug_2024,63,SG,S,G,,N,,
A24_63SI_S959_L001_R1_001.fastq.gz,A24_63SI_S959_L001_R2_001.fastq.gz,Aug_2024,63,SI,S,I,,N,,
A24_63SSG_S958_L001_R1_001.fastq.gz,A24_63SSG_S958_L001_R2_001.fastq.gz,Aug_2024,63,SSG,SS,G,,N,,
A24_63SSI_S960_L001_R1_001.fastq.gz,A24_63SSI_S960_L001_R2_001.fastq.gz,Aug_2024,63,SSI,SS,I,,N,,
A24_64SG_S961_L001_R1_001.fastq.gz,A24_64SG_S961_L001_R2_001.fastq.gz,Aug_2024,64,SG,S,G,,P+Water,,
A24_64SI_S963_L001_R1_001.fastq.gz,A24_64SI_S963_L001_R2_001.fastq.gz,Aug_2024,64,SI,S,I,,P+Water,,
A24_64SSG_S962_L001_R1_001.fastq.gz,A24_64SSG_S962_L001_R2_001.fastq.gz,Aug_2024,64,SSG,SS,G,,P+Water,,
A24_64SSI_S964_L001_R1_001.fastq.gz,A24_64SSI_S964_L001_R2_001.fastq.gz,Aug_2024,64,SSI,SS,I,,P+Water,,
A24_6SG_S825_L001_R1_001.fastq.gz,A24_6SG_S825_L001_R2_001.fastq.gz,Aug_2024,6,SG,S,G,,N+P+Water,,
A24_6SI_S827_L001_R1_001.fastq.gz,A24_6SI_S827_L001_R2_001.fastq.gz,Aug_2024,6,SI,S,I,,N+P+Water,,
A24_6SSG_S826_L001_R1_001.fastq.gz,A24_6SSG_S826_L001_R2_001.fastq.gz,Aug_2024,6,SSG,SS,G,,N+P+Water,,
A24_6SSI_S828_L001_R1_001.fastq.gz,A24_6SSI_S828_L001_R2_001.fastq.gz,Aug_2024,6,SSI,SS,I,,N+P+Water,,
A24_7SG_S829_L001_R1_001.fastq.gz,A24_7SG_S829_L001_R2_001.fastq.gz,Aug_2024,7,SG,S,G,,P,,
A24_7SI_S831_L001_R1_001.fastq.gz,A24_7SI_S831_L001_R2_001.fastq.gz,Aug_2024,7,SI,S,I,,P,,
A24_7SSG_S830_L001_R1_001.fastq.gz,A24_7SSG_S830_L001_R2_001.fastq.gz,Aug_2024,7,SSG,SS,G,,P,,
A24_7SSI_S832_L001_R1_001.fastq.gz,A24_7SSI_S832_L001_R2_001.fastq.gz,Aug_2024,7,SSI,SS,I,,P,,
A24_8SG_S833_L001_R1_001.fastq.gz,A24_8SG_S833_L001_R2_001.fastq.gz,Aug_2024,8,SG,S,G,,P,,
A24_8SI_S835_L001_R1_001.fastq.gz,A24_8SI_S835_L001_R2_001.fastq.gz,Aug_2024,8,SI,S,I,,P,,
A24_8SSG_S834_L001_R1_001.fastq.gz,A24_8SSG_S834_L001_R2_001.fastq.gz,Aug_2024,8,SSG,SS,G,,P,,
A24_8SSI_S836_L001_R1_001.fastq.gz,A24_8SSI_S836_L001_R2_001.fastq.gz,Aug_2024,8,SSI,SS,I,,P,,
A24_9SG_S837_L001_R1_001.fastq.gz,A24_9SG_S837_L001_R2_001.fastq.gz,Aug_2024,9,SG,S,G,,N+Water,,
A24_9SI_S839_L001_R1_001.fastq.gz,A24_9SI_S839_L001_R2_001.fastq.gz,Aug_2024,9,SI,S,I,,N+Water,,
A24_9SSG_S838_L001_R1_001.fastq.gz,A24_9SSG_S838_L001_R2_001.fastq.gz,Aug_2024,9,SSG,SS,G,,N+Water,,
A24_9SSI_S840_L001_R1_001.fastq.gz,A24_9SSI_S840_L001_R2_001.fastq.gz,Aug_2024,9,SSI,SS,I,,N+Water,,
C6_S161_L001_R1_001.fastq.gz,C6_S161_L001_R2_001.fastq.gz,Neg_Control,Neg_Control,Neg_Control,Neg_Control,Neg_Control,,Neg_Control,,
F23_10SG_S520_L001_R1_001.fastq.gz,F23_10SG_S520_L001_R2_001.fastq.gz,Feb_2023,10,SG,S,G,,N+Water,,
F23_10SI_S522_L001_R1_001.fastq.gz,F23_10SI_S522_L001_R2_001.fastq.gz,Feb_2023,10,SI,S,I,,N+Water,,
F23_10SSG_S521_L001_R1_001.fastq.gz,F23_10SSG_S521_L001_R2_001.fastq.gz,Feb_2023,10,SSG,SS,G,,N+Water,,
F23_10SSI_S523_L001_R1_001.fastq.gz,F23_10SSI_S523_L001_R2_001.fastq.gz,Feb_2023,10,SSI,SS,I,,N+Water,,
F23_11SG_S524_L001_R1_001.fastq.gz,F23_11SG_S524_L001_R2_001.fastq.gz,Feb_2023,11,SG,S,G,,Water,,
F23_11SI_S526_L001_R1_001.fastq.gz,F23_11SI_S526_L001_R2_001.fastq.gz,Feb_2023,11,SI,S,I,,Water,,
F23_11SSG_S525_L001_R1_001.fastq.gz,F23_11SSG_S525_L001_R2_001.fastq.gz,Feb_2023,11,SSG,SS,G,,Water,,
F23_11SSI_S527_L001_R1_001.fastq.gz,F23_11SSI_S527_L001_R2_001.fastq.gz,Feb_2023,11,SSI,SS,I,,Water,,
F23_12SG_S528_L001_R1_001.fastq.gz,F23_12SG_S528_L001_R2_001.fastq.gz,Feb_2023,12,SG,S,G,,Control,,
F23_12SI_S530_L001_R1_001.fastq.gz,F23_12SI_S530_L001_R2_001.fastq.gz,Feb_2023,12,SI,S,I,,Control,,
F23_12SSG_S529_L001_R1_001.fastq.gz,F23_12SSG_S529_L001_R2_001.fastq.gz,Feb_2023,12,SSG,SS,G,,Control,,
F23_12SSI_S531_L001_R1_001.fastq.gz,F23_12SSI_S531_L001_R2_001.fastq.gz,Feb_2023,12,SSI,SS,I,,Control,,
F23_13SG_S532_L001_R1_001.fastq.gz,F23_13SG_S532_L001_R2_001.fastq.gz,Feb_2023,13,SG,S,G,,N,,
F23_13SI_S534_L001_R1_001.fastq.gz,F23_13SI_S534_L001_R2_001.fastq.gz,Feb_2023,13,SI,S,I,,N,,
F23_13SSG_S533_L001_R1_001.fastq.gz,F23_13SSG_S533_L001_R2_001.fastq.gz,Feb_2023,13,SSG,SS,G,,N,,
F23_13SSI_S535_L001_R1_001.fastq.gz,F23_13SSI_S535_L001_R2_001.fastq.gz,Feb_2023,13,SSI,SS,I,,N,,
F23_14SG_S536_L001_R1_001.fastq.gz,F23_14SG_S536_L001_R2_001.fastq.gz,Feb_2023,14,SG,S,G,,Control,,
F23_14SI_S537_L001_R1_001.fastq.gz,F23_14SI_S537_L001_R2_001.fastq.gz,Feb_2023,14,SI,S,I,,Control,,
F23_14SSI_S538_L001_R1_001.fastq.gz,F23_14SSI_S538_L001_R2_001.fastq.gz,Feb_2023,14,SSI,SS,I,,Control,,
F23_15B_S541_L001_R1_001.fastq.gz,F23_15B_S541_L001_R2_001.fastq.gz,Feb_2023,15,SSG,SS,G,,Control,,
F23_15SG_S539_L001_R1_001.fastq.gz,F23_15SG_S539_L001_R2_001.fastq.gz,Feb_2023,15,SG,S,G,,Water,,
F23_15SI_S542_L001_R1_001.fastq.gz,F23_15SI_S542_L001_R2_001.fastq.gz,Feb_2023,15,SI,S,I,,Water,,
F23_15SSG_A_S540_L001_R1_001.fastq.gz,F23_15SSG_A_S540_L001_R2_001.fastq.gz,Feb_2023,15,SSG,SS,G,,Water,,
F23_15SSI_S543_L001_R1_001.fastq.gz,F23_15SSI_S543_L001_R2_001.fastq.gz,Feb_2023,15,SSI,SS,I,,Water,,
F23_16SG_S544_L001_R1_001.fastq.gz,F23_16SG_S544_L001_R2_001.fastq.gz,Feb_2023,16,SG,S,G,,N+P+Water,,
F23_16SI_S546_L001_R1_001.fastq.gz,F23_16SI_S546_L001_R2_001.fastq.gz,Feb_2023,16,SI,S,I,,N+P+Water,,
F23_16SSG_S545_L001_R1_001.fastq.gz,F23_16SSG_S545_L001_R2_001.fastq.gz,Feb_2023,16,SSG,SS,G,,N+P+Water,,
F23_16SSI_S547_L001_R1_001.fastq.gz,F23_16SSI_S547_L001_R2_001.fastq.gz,Feb_2023,16,SSI,SS,I,,N+P+Water,,
F23_1SG_S484_L001_R1_001.fastq.gz,F23_1SG_S484_L001_R2_001.fastq.gz,Feb_2023,1,SG,S,G,,N+P+Water,,
F23_1SI_S486_L001_R1_001.fastq.gz,F23_1SI_S486_L001_R2_001.fastq.gz,Feb_2023,1,SI,S,I,,N+P+Water,,
F23_1SSG_S485_L001_R1_001.fastq.gz,F23_1SSG_S485_L001_R2_001.fastq.gz,Feb_2023,1,SSG,SS,G,,N+P+Water,,
F23_1SSI_S487_L001_R1_001.fastq.gz,F23_1SSI_S487_L001_R2_001.fastq.gz,Feb_2023,1,SSI,SS,I,,N+P+Water,,
F23_20SG_S548_L001_R1_001.fastq.gz,F23_20SG_S548_L001_R2_001.fastq.gz,Feb_2023,20,SG,S,G,,P+Water,,
F23_20SI_S550_L001_R1_001.fastq.gz,F23_20SI_S550_L001_R2_001.fastq.gz,Feb_2023,20,SI,S,I,,P+Water,,
F23_20SSG_S549_L001_R1_001.fastq.gz,F23_20SSG_S549_L001_R2_001.fastq.gz,Feb_2023,20,SSG,SS,G,,P+Water,,
F23_20SSI_S551_L001_R1_001.fastq.gz,F23_20SSI_S551_L001_R2_001.fastq.gz,Feb_2023,20,SSI,SS,I,,P+Water,,
F23_24SG_S552_L001_R1_001.fastq.gz,F23_24SG_S552_L001_R2_001.fastq.gz,Feb_2023,24,SG,S,G,,N+P,,
F23_24SI_S554_L001_R1_001.fastq.gz,F23_24SI_S554_L001_R2_001.fastq.gz,Feb_2023,24,SI,S,I,,N+P,,
F23_24SSG_S553_L001_R1_001.fastq.gz,F23_24SSG_S553_L001_R2_001.fastq.gz,Feb_2023,24,SSG,SS,G,,N+P,,
F23_24SSI_S555_L001_R1_001.fastq.gz,F23_24SSI_S555_L001_R2_001.fastq.gz,Feb_2023,24,SSI,SS,I,,N+P,,
F23_28SG_S556_L001_R1_001.fastq.gz,F23_28SG_S556_L001_R2_001.fastq.gz,Feb_2023,28,SG,S,G,,N+Water,,
F23_28SI_S558_L001_R1_001.fastq.gz,F23_28SI_S558_L001_R2_001.fastq.gz,Feb_2023,28,SI,S,I,,N+Water,,
F23_28SSG_S557_L001_R1_001.fastq.gz,F23_28SSG_S557_L001_R2_001.fastq.gz,Feb_2023,28,SSG,SS,G,,N+Water,,
F23_28SSI_S559_L001_R1_001.fastq.gz,F23_28SSI_S559_L001_R2_001.fastq.gz,Feb_2023,28,SSI,SS,I,,N+Water,,
F23_29SG_S560_L001_R1_001.fastq.gz,F23_29SG_S560_L001_R2_001.fastq.gz,Feb_2023,29,SG,S,G,,P,,
F23_29SI_S562_L001_R1_001.fastq.gz,F23_29SI_S562_L001_R2_001.fastq.gz,Feb_2023,29,SI,S,I,,P,,
F23_29SSG_S561_L001_R1_001.fastq.gz,F23_29SSG_S561_L001_R2_001.fastq.gz,Feb_2023,29,SSG,SS,G,,P,,
F23_29SSI_S563_L001_R1_001.fastq.gz,F23_29SSI_S563_L001_R2_001.fastq.gz,Feb_2023,29,SSI,SS,I,,P,,
F23_2SG_S488_L001_R1_001.fastq.gz,F23_2SG_S488_L001_R2_001.fastq.gz,Feb_2023,2,SG,S,G,,P,,
F23_2SI_S490_L001_R1_001.fastq.gz,F23_2SI_S490_L001_R2_001.fastq.gz,Feb_2023,2,SI,S,I,,P,,
F23_2SSG_S489_L001_R1_001.fastq.gz,F23_2SSG_S489_L001_R2_001.fastq.gz,Feb_2023,2,SSG,SS,G,,P,,
F23_2SSI_S491_L001_R1_001.fastq.gz,F23_2SSI_S491_L001_R2_001.fastq.gz,Feb_2023,2,SSI,SS,I,,P,,
F23_31SG_S564_L001_R1_001.fastq.gz,F23_31SG_S564_L001_R2_001.fastq.gz,Feb_2023,31,SG,S,G,,N+Water,,
F23_31SI_S566_L001_R1_001.fastq.gz,F23_31SI_S566_L001_R2_001.fastq.gz,Feb_2023,31,SI,S,I,,N+Water,,
F23_31SSG_S565_L001_R1_001.fastq.gz,F23_31SSG_S565_L001_R2_001.fastq.gz,Feb_2023,31,SSG,SS,G,,N+Water,,
