R1,R2,SampleDate,PlotNr,Microhabitat,Surface_Subsurface,Grass_Interspace,Notes,Treatment,,
A23_28SI_S398_L001_R1_001.fastq.gz,A23_28SI_S398_L001_R2_001.fastq.gz,Aug_2023,28,SI,S,I,,N+Water,,
A23_28SSG_S397_L001_R1_001.fastq.gz,A23_28SSG_S397_L001_R2_001.fastq.gz,Aug_2023,28,SSG,SS,G,,N+Water,,
A23_28SSI_S399_L001_R1_001.fastq.gz,A23_28SSI_S399_L001_R2_001.fastq.gz,Aug_2023,28,SSI,SS,I,,N+Water,,
A23_29SG_S400_L001_R1_001.fastq.gz,A23_29SG_S400_L001_R2_001.fastq.gz,Aug_2023,29,SG,S,G,,P,,
A23_29SI_S402_L001_R1_001.fastq.gz,A23_29SI_S402_L001_R2_001.fastq.gz,Aug_2023,29,SI,S,I,,P,,
A23_29SSG_S401_L001_R1_001.fastq.gz,A23_29SSG_S401_L001_R2_001.fastq.gz,Aug_2023,29,SSG,SS,G,,P,,
A23_29SSI_S403_L001_R1_001.fastq.gz,A23_29SSI_S403_L001_R2_001.fastq.gz,Aug_2023,29,SSI,SS,I,,P,,
A23_2SG_S328_L001_R1_001.fastq.gz,A23_2SG_S328_L001_R2_001.fastq.gz,Aug_2023,2,SG,S,G,,P,,
A23_2SI_S330_L001_R1_001.fastq.gz,A23_2SI_S330_L001_R2_001.fastq.gz,Aug_2023,2,SI,S,I,,P,,
A23_2SSG_S329_L001_R1_001.fastq.gz,A23_2SSG_S329_L001_R2_001.fastq.gz,Aug_2023,2,SSG,SS,G,,P,,
A23_2SSI_S331_L001_R1_001.fastq.gz,A23_2SSI_S331_L001_R2_001.fastq.gz,Aug_2023,2,SSI,SS,I,,P,,
A23_31SG_S404_L001_R1_001.fastq.gz,A23_31SG_S404_L001_R2_001.fastq.gz,Aug_2023,31,SG,S,G,,N+Water,,
A23_31SI_S406_L001_R1_001.fastq.gz,A23_31SI_S406_L001_R2_001.fastq.gz,Aug_2023,31,SI,S,I,,N+Water,,
A23_31SSG_S405_L001_R1_001.fastq.gz,A23_31SSG_S405_L001_R2_001.fastq.gz,Aug_2023,31,SSG,SS,G,,N+Water,,
A23_31SSI_S407_L001_R1_001.fastq.gz,A23_31SSI_S407_L001_R2_001.fastq.gz,Aug_2023,31,SSI,SS,I,,N+Water,,
A23_34SG_S408_L001_R1_001.fastq.gz,A23_34SG_S408_L001_R2_001.fastq.gz,Aug_2023,34,SG,S,G,,N,,
A23_34SI_S410_L001_R1_001.fastq.gz,A23_34SI_S410_L001_R2_001.fastq.gz,Aug_2023,34,SI,S,I,,N,,
A23_34SSG_S409_L001_R1_001.fastq.gz,A23_34SSG_S409_L001_R2_001.fastq.gz,Aug_2023,34,SSG,SS,G,,N,,
A23_34SSI_S411_L001_R1_001.fastq.gz,A23_34SSI_S411_L001_R2_001.fastq.gz,Aug_2023,34,SSI,SS,I,,N,,
